symbol; frequency
'то'; 0.014414832255310475
'ст'; 0.013922964324065635
'на'; 0.013094321953409914
'но'; 0.011797444945503102
'ен'; 0.011110602338809858
'ов'; 0.0106807718042986
'по'; 0.010441484702611923
'ко'; 0.010132774799818615
'ал'; 0.010042672866467458
'не'; 0.009722146316677277
'ни'; 0.009537511207351137
'ро'; 0.00944593219312537
'ос'; 0.009409005171260141
'ли'; 0.009219938819310174
'ра'; 0.009134268128582845
'ор'; 0.008917137240015303
'ан'; 0.008544912859613802
'го'; 0.008437085955767335
'от'; 0.008200753015829875
'пр'; 0.007998392936008425
'во'; 0.00785511609117134
'ас'; 0.007809326584058457
'ес'; 0.007701499680211991
'ол'; 0.007633553959979971
'он'; 0.007630599798230752
'ат'; 0.007590718614616306
'ре'; 0.00749913960039054
'ер'; 0.0074651667402745306
'ка'; 0.0072820087118229985
'ть'; 0.006850701096437133
'та'; 0.006781278295330504
'ом'; 0.006767984567459022
'ит'; 0.006756167920462149
'ил'; 0.006736965869092231
'ла'; 0.006722195060346139
'те'; 0.006658680582737947
'ин'; 0.006546422436267653
'ти'; 0.006499155848280161
'ло'; 0.006459274664665714
'да'; 0.006426778885424314
'од'; 0.006404622672305176
'ва'; 0.006369172731314558
'ет'; 0.006187491783737635
'ог'; 0.0058920756088158095
'ел'; 0.005837423616455272
'ак'; 0.00578867994759317
'ле'; 0.00573845919785646
'ве'; 0.005725165469984978
'ис'; 0.005630632294009994
'об'; 0.005487355449172908
'ем'; 0.005426795133313934
'за'; 0.005401684758445579
'ед'; 0.005357372332207305
'ны'; 0.005330784876464341
'ам'; 0.005149103928887419
'мо'; 0.005113653987896799
'де'; 0.00511217690702219
'ск'; 0.0048817522905831665
'ри'; 0.004880275209708557
'ав'; 0.004852210673090984
'ив'; 0.004530207042426194
'ме'; 0.004522821638053148
'ми'; 0.004342617771350835
'ль'; 0.004285011617241079
'до'; 0.0042791032937426424
'ой'; 0.004196386764764531
'ся'; 0.004186047198642268
'ик'; 0.00418161595601844
'им'; 0.004180138875143831
'аз'; 0.004026522464184482
'нн'; 0.003994026684943081
'же'; 0.003954145501328634
'се'; 0.003902447670717315
'ки'; 0.0039009705898427056
'тв'; 0.003880291457598178
'оп'; 0.0038640435679774773
'ег'; 0.0038404102739837314
'ви'; 0.0037828041198739756
'ру'; 0.0037636020685040566
'ид'; 0.003649866841159154
'ок'; 0.0036439585176607173
'си'; 0.003626233547165408
'со'; 0.0036247564662907988
'па'; 0.0036203252236669714
'бы'; 0.00360555441492088
'ма'; 0.003478525459704495
'из'; 0.003451938003961531
'ну'; 0.003416488062970912
'ди'; 0.0034002401733502115
'тр'; 0.0033647902323595924
'ус'; 0.00333524861486741
'ев'; 0.0033012757547514
'вс'; 0.003282073703381481
'че'; 0.0032613945711369536
'чт'; 0.003258440409387735
'ие'; 0.003240715438892426
'сл'; 0.0032392383580178165
'га'; 0.0032377612771432073
'ар'; 0.0032170821448986794
'ап'; 0.003212650902274852
'сп'; 0.0031934488509049335
'еп'; 0.0030885761088076855
'вы'; 0.0030752823809362035
'ад'; 0.002988134609334265
'пл'; 0.002964501315340519
'ои'; 0.0027385079415253224
'бо'; 0.002649883089048775
'ип'; 0.0025981852584374553
'лс'; 0.002559781155697618
'ое'; 0.0025523957513245723
'ьн'; 0.002468202141471852
'сь'; 0.0024490000901019335
'их'; 0.0024401376048542784
'му'; 0.0024061647447382686
'св'; 0.0024017335021144413
'ии'; 0.002379577288995304
'мн'; 0.0023781002081206953
'оз'; 0.002376623127246086
'са'; 0.0023692377228730407
'аб'; 0.0023559439950015582
'вн'; 0.0023426502671300762
'ия'; 0.002329356539258594
'ей'; 0.0023264023775093757
'ек'; 0.0023249252966347665
'ьс'; 0.0022998149217664113
'оч'; 0.0022776587086472747
'ож'; 0.002236300444158219
'пе'; 0.0022348233632836097
'тн'; 0.002146198510807062
'чи'; 0.002124042297687925
'лп'; 0.002095977761070352
'ля'; 0.0020900694375719153
'еб'; 0.002088592356697306
'кр'; 0.0020812069523242606
'дн'; 0.0020590507392051235
'ку'; 0.002038371606960596
'хо'; 0.002029509121712941
'ут'; 0.0020250778790891137
'ры'; 0.0020250778790891137
'уд'; 0.001982242533725449
'тс'; 0.0019689488058539668
'ше'; 0.0019482696736094391
'ду'; 0.001921682217866475
'ты'; 0.0019157738943680384
'зн'; 0.0019069114091203835
'ян'; 0.0019054343282457744
'ая'; 0.0018995260047473378
'ир'; 0.0018832781151266376
'ые'; 0.0018832781151266376
'ыл'; 0.001875892710753592
'ул'; 0.001864076063756719
'ун'; 0.0018345344462645363
'бе'; 0.0018330573653899272
'ез'; 0.0018330573653899272
'ча'; 0.001806469909646963
'ят'; 0.0018049928287723538
'ши'; 0.0018035157478977447
'ых'; 0.0017916991009008715
'ый'; 0.0017887449391516535
'бр'; 0.0017665887260325164
'лу'; 0.0017665887260325164
'уч'; 0.0017651116451579073
'ич'; 0.0017532949981610344
'жи'; 0.001750340836411816
'гл'; 0.0017429554320387705
'ым'; 0.001725230461543461
'кт'; 0.0017207992189196336
'ще'; 0.0016956888440512784
'оо'; 0.0016646701456844866
'ио'; 0.0016646701456844866
'яс'; 0.001657284741311441
'яв'; 0.0016543305795622227
'ыв'; 0.0015922931828286394
'еч'; 0.0015908161019540304
'ае'; 0.0015819536167063755
'ту'; 0.0015597974035872386
'эт'; 0.0015391182713427108
'аг'; 0.0015346870287188835
'ьк'; 0.0015258245434712286
'аж'; 0.0015243474625966195
'уп'; 0.001518439139098183
'лэ'; 0.001505145411226701
'ео'; 0.0015021912494774827
'ыс'; 0.0014977600068536553
'аи'; 0.0014859433598567822
'вл'; 0.001482989198107564
'бл'; 0.001460832984988427
'йс'; 0.0014445850953677267
'ук'; 0.0014431080144931174
'мы'; 0.0014312913674962445
'уж'; 0.0014298142866216355
'эг'; 0.0014283372057470262
'бу'; 0.0014268601248724172
'сн'; 0.0014209518013739806
'нт'; 0.001412089316126326
'ее'; 0.0014061809926278893
'зв'; 0.001401749750004062
'ум'; 0.0013884560221325798
'ий'; 0.0013840247795087524
'иб'; 0.0013810706177595341
'др'; 0.0013766393751357068
'ув'; 0.001367776889888052
'лн'; 0.0013352811106466511
'ах'; 0.0013042624122798596
'уб'; 0.001288014522659159
'см'; 0.0012791520374115044
'ую'; 0.0012776749565368952
'гр'; 0.0012717666330384588
'мп'; 0.0012702895521638495
'гд'; 0.0012702895521638495
'ги'; 0.0012599499860415856
'ыт'; 0.0012466562581701036
'сс'; 0.001240747934671667
'нс'; 0.001228931287674794
'яп'; 0.0012274542068001848
'ач'; 0.0012259771259255758
'би'; 0.0012230229641763575
