symbol; frequency
'о'; 0.10758271163013237
'а'; 0.08257872445995995
'е'; 0.07894153922489412
'и'; 0.0731941072578311
'н'; 0.0666315204999616
'т'; 0.06136993260205679
'с'; 0.05617922772943949
'л'; 0.05121298577023267
'р'; 0.04563980790700147
'в'; 0.04398144046121222
'к'; 0.033456787935709095
'м'; 0.032195660777468646
'д'; 0.031705386519229974
'п'; 0.030761756245089873
'у'; 0.02908714477267223
'ы'; 0.02042907857974045
'г'; 0.01945739044142404
'я'; 0.0177089424843319
'б'; 0.017001588961150196
'ь'; 0.01662059270022978
'з'; 0.016474396460574272
'ч'; 0.012993744573018376
'й'; 0.010955857596002197
'ж'; 0.009614987034313292
'х'; 0.009140956802703005
'ш'; 0.0068978043982917195
'ю'; 0.005466853325299924
'ц'; 0.003805532420123691
'э'; 0.0037331726651426817
'щ'; 0.0036711500180161023
'ф'; 0.0015092177467467644
