  	37087	0.0248427
вч	12	8.03818e-06
вш	504	0.000337603
вщ	14	9.37787e-06
вы	2738	0.00183404
вь	176	0.000117893
вю	1	6.69848e-07
вя	347	0.000232437
г 	725	0.00048564
га	1727	0.00115683
гб	1	6.69848e-07
гв	5	3.34924e-06
гг	25	1.67462e-05
гд	1737	0.00116353
ге	1293	0.000866113
ги	1208	0.000809176
гк	109	7.30134e-05
гл	1516	0.00101549
гм	14	9.37787e-06
гн	264	0.00017684
го	10617	0.00711178
гр	1266	0.000848028
гс	45	3.01432e-05
гт	3	2.00954e-06
гу	501	0.000335594
гф	1	6.69848e-07
гч	67	4.48798e-05
гш	10	6.69848e-06
д 	1543	0.00103358
да	8114	0.00543515
дб	8	5.35878e-06
дв	976	0.000653772
дг	66	4.421e-05
дд	95	6.36356e-05
де	7161	0.00479678
дж	25	1.67462e-05
дз	6	4.01909e-06
ди	3405	0.00228083
дк	211	0.000141338
дл	1439	0.000963911
дм	51	3.41622e-05
дн	2476	0.00165854
до	4797	0.00321326
дп	248	0.000166122
др	1177	0.000788411
дс	952	0.000637695
дт	227	0.000152055
ду	2027	0.00135778
дх	45	3.01432e-05
дц	85	5.69371e-05
дч	124	8.30612e-05
дш	87	5.82768e-05
ды	886	0.000593485
дь	799	0.000535209
дю	14	9.37787e-06
дя	401	0.000268609
е 	26754	0.0179211
еа	209	0.000139998
еб	1399	0.000937117
ев	2466	0.00165185
ег	3172	0.00212476
ед	4698	0.00314695
ее	2331	0.00156142
еж	1443	0.000966591
ез	1595	0.00106841
еи	671	0.000449468
ей	4809	0.0032213
ек	1244	0.000833291
ел	8371	0.0056073
ем	7132	0.00477736
ен	14381	0.00963308
ео	569	0.000381144
еп	1477	0.000989366
ер	8068	0.00540433
ес	7560	0.00506405
ет	6845	0.00458511
еу	106	7.10039e-05
еф	40	2.67939e-05
ех	991	0.000663819
ец	824	0.000551955
еч	1788	0.00119769
еш	1143	0.000765636
ещ	879	0.000588796
еэ	1	6.69848e-07
ею	262	0.0001755
ея	470	0.000314829
ж 	76	5.09084e-05
жа	1069	0.000716068
жб	47	3.14829e-05
жг	2	1.3397e-06
жд	1739	0.00116487
же	5511	0.00369153
жж	6	4.01909e-06
жи	1476	0.000988696
жк	87	5.82768e-05
жл	4	2.67939e-06
жм	3	2.00954e-06
жн	2085	0.00139663
жо	32	2.14351e-05
жр	7	4.68894e-06
жс	4	2.67939e-06
жу	290	0.000194256
жц	2	1.3397e-06
жч	12	8.03818e-06
жь	67	4.48798e-05
з 	1730	0.00115884
за	5209	0.00348924
зб	386	0.000258561
зв	978	0.000655111
зг	206	0.000137989
зд	1008	0.000675207
зе	530	0.000355019
зж	70	4.68894e-05
зз	66	4.421e-05
зи	598	0.000400569
зк	120	8.03818e-05
зл	373	0.000249853
зм	1081	0.000724106
зн	2288	0.00153261
зо	1049	0.000702671
зр	628	0.000420665
зс	38	2.54542e-05
зт	4	2.67939e-06
зу	916	0.000613581
зц	35	2.34447e-05
зч	5	3.34924e-06
зш	31	2.07653e-05
зы	773	0.000517792
зь	122	8.17215e-05
зя	351	0.000235117
и 	25701	0.0172158
иа	759	0.000508415
иб	990	0.00066315
ив	2968	0.00198811
иг	710	0.000475592
ид	1632	0.00109319
ие	5177	0.0034678
иж	688	0.000460855
из	3799	0.00254475
ии	2958	0.00198141
ий	1979	0.00132563
ик	2849	0.0019084
ил	3763	0.00252064
им	5199	0.00348254
ин	4071	0.00272695
ио	1119	0.00074956
ип	306	0.000204973
ир	1510	0.00101147
ис	3678	0.0024637
ит	7594	0.00508683
иу	20	1.3397e-05
иф	111	7.43531e-05
их	4060	0.00271958
иц	687	0.000460186
ич	2891	0.00193653
иш	697	0.000466884
ищ	196	0.00013129
ию	1137	0.000761617
ия	4746	0.0031791
й 	12379	0.00829205
йб	3	2.00954e-06
йд	134	8.97596e-05
йе	3	2.00954e-06
йз	5	3.34924e-06
йк	62	4.15306e-05
йл	1	6.69848e-07
йм	56	3.75115e-05
йн	788	0.00052784
йо	10	6.69848e-06
йп	3	2.00954e-06
йр	1	6.69848e-07
йс	1356	0.000908314
йт	196	0.00013129
йх	42	2.81336e-05
йц	84	5.62672e-05
йч	130	8.70802e-05
йш	412	0.000275977
йщ	1	6.69848e-07
к 	4356	0.00291786
ка	6458	0.00432588
кв	81	5.42577e-05
ке	343	0.000229758
кж	142	9.51184e-05
кз	14	9.37787e-06
ки	4194	0.00280934
кк	17	1.13874e-05
кл	694	0.000464875
км	6	4.01909e-06
кн	248	0.000166122
ко	13083	0.00876362
кр	1880	0.00125931
кс	339	0.000227078
кт	1253	0.00083932
ку	1580	0.00105836
кф	2	1.3397e-06
кц	39	2.61241e-05
кч	2	1.3397e-06
кш	14	9.37787e-06
л 	2577	0.0017262
ла	5259	0.00352273
лб	8	5.35878e-06
лв	2	1.3397e-06
лг	121	8.10516e-05
лд	132	8.84199e-05
ле	6086	0.0040767
лж	904	0.000605543
лз	6	4.01909e-06
ли	10481	0.00702068
лк	335	0.000224399
лл	288	0.000192916
лм	4	2.67939e-06
лн	495	0.000331575
ло	6933	0.00464406
лп	36	2.41145e-05
лс	486	0.000325546
лт	59	3.9521e-05
лу	1809	0.00121175
лф	1	6.69848e-07
лч	59	3.9521e-05
лш	5	3.34924e-06
лщ	1	6.69848e-07
лы	520	0.000348321
ль	9465	0.00634011
лэ	1	6.69848e-07
лю	1721	0.00115281
ля	2750	0.00184208
м 	12130	0.00812526
ма	3849	0.00257825
мб	14	9.37787e-06
мв	39	2.61241e-05
мг	5	3.34924e-06
ме	6082	0.00407402
мз	2	1.3397e-06
ми	4457	0.00298551
мк	60	4.01909e-05
мл	278	0.000186218
мм	152	0.000101817
мн	1178	0.000789081
мо	5216	0.00349393
мп	189	0.000126601
мр	12	8.03818e-06
мс	246	0.000164783
му	2713	0.0018173
мф	2	1.3397e-06
мц	184	0.000123252
мч	18	1.20573e-05
мщ	1	6.69848e-07
мы	2565	0.00171816
мь	38	2.54542e-05
мю	76	5.09084e-05
мя	521	0.000348991
н 	1659	0.00111128
на	15826	0.010601
нб	17	1.13874e-05
нв	9	6.02863e-06
нг	338	0.000226409
нд	467	0.000312819
не	12528	0.00839186
нж	8	5.35878e-06
нз	13	8.70802e-06
ни	14838	0.0099392
нк	263	0.00017617
нн	6157	0.00412425
но	16749	0.0112193
нп	1	6.69848e-07
нр	46	3.0813e-05
нс	1171	0.000784392
нт	1740	0.00116554
ну	2211	0.00148103
нф	24	1.60764e-05
нх	75	5.02386e-05
нц	915	0.000612911
нч	255	0.000170811
нш	5	3.34924e-06
нщ	42	2.81336e-05
ны	6746	0.00451879
нь	979	0.000655781
нэ	3	2.00954e-06
ню	141	9.44486e-05
ня	1371	0.000918362
о 	30730	0.0205844
оа	30	2.00954e-05
об	7237	0.00484769
ов	10056	0.00673599
ог	7526	0.00504128
од	7665	0.00513439
ое	4191	0.00280733
ож	2805	0.00187892
оз	2252	0.0015085
ои	1365	0.000914343
ой	6630	0.00444109
ок	2286	0.00153127
ол	10125	0.00678221
ом	6914	0.00463133
он	5803	0.00388713
оо	614	0.000411287
оп	2259	0.00151319
ор	7783	0.00521343
ос	10690	0.00716068
от	8779	0.0058806
оу	53	3.55019e-05
оф	318	0.000213012
ох	595	0.00039856
оц	524	0.000351
оч	2017	0.00135108
ош	752	0.000503726
ощ	216	0.000144687
оэ	109	7.30134e-05
ою	891	0.000596835
оя	925	0.000619609
п 	101	6.76546e-05
па	2221	0.00148773
пе	3029	0.00202897
пи	889	0.000595495
пк	52	3.48321e-05
пл	773	0.000517792
пн	271	0.000181529
по	11154	0.00747148
пп	122	8.17215e-05
пр	10896	0.00729866
пс	52	3.48321e-05
пт	55	3.68416e-05
пу	873	0.000584777
пф	4	2.67939e-06
пц	10	6.69848e-06
пч	6	4.01909e-06
пш	2	1.3397e-06
пы	415	0.000277987
пь	17	1.13874e-05
пя	207	0.000138659
р 	679	0.000454827
ра	10977	0.00735292
рб	69	4.62195e-05
рв	601	0.000402579
рг	793	0.000531189
рд	196	0.00013129
ре	9852	0.00659934
рж	620	0.000415306
рз	9	6.02863e-06
ри	5841	0.00391258
рк	436	0.000292054
рл	242	0.000162103
рм	1327	0.000888888
рн	869	0.000582098
ро	11175	0.00748555
рп	147	9.84677e-05
рр	149	9.98074e-05
рс	1467	0.000982667
рт	1074	0.000719417
ру	3236	0.00216763
рф	10	6.69848e-06
рх	254	0.000170141
рц	183	0.000122582
рч	111	7.43531e-05
рш	566	0.000379134
рщ	4	2.67939e-06
ры	1766	0.00118295
рь	1336	0.000894917
рю	44	2.94733e-05
ря	1325	0.000887549
с 	2731	0.00182935
са	2413	0.00161634
сб	97	6.49753e-05
св	2390	0.00160094
сг	12	8.03818e-06
сд	228	0.000152725
се	4804	0.00321795
сж	4	2.67939e-06
сз	1	6.69848e-07
си	2318	0.00155271
ск	4882	0.0032702
сл	3854	0.00258159
см	782	0.000523821
сн	1302	0.000872142
со	6254	0.00418923
сп	2294	0.00153663
ср	604	0.000404588
сс	1519	0.0010175
ст	20607	0.0138036
су	2475	0.00165787
сф	51	3.41622e-05
сх	247	0.000165452
сц	94	6.29657e-05
сч	648	0.000434062
сш	159	0.000106506
сы	638	0.000427363
сь	2193	0.00146898
сэ	1	6.69848e-07
сю	204	0.000136649
ся	5227	0.0035013
т 	8877	0.00594624
та	8548	0.00572586
тб	27	1.80859e-05
тв	6826	0.00457238
тг	7	4.68894e-06
тд	430	0.000288035
те	8134	0.00544854
тж	5	3.34924e-06
тз	3	2.00954e-06
ти	8692	0.00582232
тк	540	0.000361718
тл	210	0.000140668
тм	43	2.88035e-05
тн	1612	0.00107979
то	20769	0.0139121
тп	67	4.48798e-05
тр	3416	0.0022882
тс	3149	0.00210935
тт	52	3.48321e-05
ту	2109	0.00141271
тф	11	7.36833e-06
тх	9	6.02863e-06
тц	44	2.94733e-05
тч	154	0.000103157
тш	3	2.00954e-06
тщ	16	1.07176e-05
ты	1315	0.00088085
ть	9485	0.00635351
тю	15	1.00477e-05
тя	694	0.000464875
у 	6744	0.00451746
уа	234	0.000156744
уб	635	0.000425353
ув	540	0.000361718
уг	1193	0.000799129
уд	3716	0.00248916
уе	323	0.000216361
уж	2020	0.00135309
уз	219	0.000146697
уи	12	8.03818e-06
уй	35	2.34447e-05
ук	758	0.000507745
ул	917	0.000614251
ум	1067	0.000714728
ун	388	0.000259901
уо	14	9.37787e-06
уп	1118	0.00074889
ур	993	0.000665159
ус	1558	0.00104362
ут	1879	0.00125864
уу	17	1.13874e-05
уф	6	4.01909e-06
ух	265	0.00017751
уц	26	1.7416e-05
уч	1665	0.0011153
уш	423	0.000283346
ущ	883	0.000591476
уэ	10	6.69848e-06
ую	2180	0.00146027
уя	36	2.41145e-05
ф 	16	1.07176e-05
фа	323	0.000216361
фе	271	0.000181529
фи	340	0.000227748
фл	75	5.02386e-05
фм	1	6.69848e-07
фн	3	2.00954e-06
фо	303	0.000202964
фр	465	0.000311479
фс	117	7.83722e-05
фт	7	4.68894e-06
фу	41	2.74638e-05
фф	12	8.03818e-06
фч	1	6.69848e-07
фы	39	2.61241e-05
фю	1	6.69848e-07
х 	8011	0.00536615
ха	355	0.000237796
хб	1	6.69848e-07
хв	148	9.91375e-05
хг	2	1.3397e-06
хе	121	8.10516e-05
хи	291	0.000194926
хл	61	4.08607e-05
хм	1	6.69848e-07
хн	106	7.10039e-05
хо	2241	0.00150113
хп	1	6.69848e-07
хр	297	0.000198945
хс	131	8.77501e-05
хт	11	7.36833e-06
ху	215	0.000144017
хч	2	1.3397e-06
ц 	289	0.000193586
ца	499	0.000334254
цб	1	6.69848e-07
цв	75	5.02386e-05
цг	7	4.68894e-06
цд	1	6.69848e-07
це	1618	0.00108381
ци	2933	0.00196466
цк	508	0.000340283
цл	8	5.35878e-06
цм	1	6.69848e-07
цо	235	0.000157414
цу	146	9.77978e-05
цы	236	0.000158084
ч 	129	8.64104e-05
ча	2999	0.00200887
чв	36	2.41145e-05
че	6012	0.00402713
чи	2746	0.0018394
чк	253	0.000169472
чл	104	6.96642e-05
чн	1332	0.000892238
чо	21	1.40668e-05
чр	110	7.36833e-05
чт	4384	0.00293661
чу	571	0.000382483
чш	267	0.000178849
чь	128	8.57405e-05
ш 	211	0.000141338
ша	819	0.000548606
шв	2	1.3397e-06
ше	3751	0.0025126
ши	2433	0.00162974
шк	262	0.0001755
шл	424	0.000284016
шм	1	6.69848e-07
шн	588	0.000393871
шо	270	0.000180859
шп	4	2.67939e-06
шр	2	1.3397e-06
шс	10	6.69848e-06
шт	134	8.97596e-05
шу	229	0.000153395
шь	329	0.00022038
шю	20	1.3397e-05
щ 	8	5.35878e-06
ща	419	0.000280666
ще	2788	0.00186754
щи	1115	0.000746881
щн	111	7.43531e-05
щр	4	2.67939e-06
щу	107	7.16737e-05
щь	31	2.07653e-05
ы 	8305	0.00556309
ыб	88	5.89466e-05
ыв	1231	0.000824583
ыг	67	4.48798e-05
ыд	162	0.000108515
ые	2473	0.00165653
ыж	18	1.20573e-05
ыз	85	5.69371e-05
ыи	9	6.02863e-06
ый	1542	0.00103291
ык	222	0.000148706
ыл	2340	0.00156744
ым	2231	0.00149443
ын	373	0.000249853
ып	119	7.97119e-05
ыр	229	0.000153395
ыс	985	0.0006598
ыт	955	0.000639705
ых	2403	0.00160964
ыц	7	4.68894e-06
ыч	89	5.96165e-05
ыш	257	0.000172151
ыщ	6	4.01909e-06
ыя	6	4.01909e-06
ь 	12743	0.00853587
ьб	758	0.000507745
ьв	9	6.02863e-06
ьг	35	2.34447e-05
ьд	7	4.68894e-06
ье	568	0.000380474
ьж	3	2.00954e-06
ьз	345	0.000231098
ьи	40	2.67939e-05
ьк	2502	0.00167596
ьл	1	6.69848e-07
ьм	133	8.90898e-05
ьн	3640	0.00243825
ьо	19	1.27271e-05
ьп	2	1.3397e-06
ьс	1789	0.00119836
ьт	567	0.000379804
ьф	10	6.69848e-06
ьц	36	2.41145e-05
ьч	49	3.28226e-05
ьш	1333	0.000892907
ьщ	10	6.69848e-06
ью	612	0.000409947
ья	275	0.000184208
э 	2	1.3397e-06
эб	4	2.67939e-06
эг	36	2.41145e-05
эд	2	1.3397e-06
эз	1	6.69848e-07
эй	5	3.34924e-06
эк	140	9.37787e-05
эл	98	6.56451e-05
эм	8	5.35878e-06
эн	74	4.95688e-05
эп	122	8.17215e-05
эр	26	1.7416e-05
эс	18	1.20573e-05
эт	4983	0.00333785
эф	7	4.68894e-06
эх	1	6.69848e-07
ю 	4426	0.00296475
юа	1	6.69848e-07
юб	229	0.000153395
юв	1	6.69848e-07
юг	9	6.02863e-06
юд	959	0.000642384
юе	13	8.70802e-06
юж	41	2.74638e-05
юз	423	0.000283346
юк	10	6.69848e-06
юл	13	8.70802e-06
юм	6	4.01909e-06
юн	118	7.90421e-05
юр	58	3.88512e-05
юс	82	5.49275e-05
ют	1395	0.000934438
юх	3	2.00954e-06
юц	170	0.000113874
юч	295	0.000197605
юш	1	6.69848e-07
ющ	830	0.000555974
юэ	13	8.70802e-06
юю	55	3.68416e-05
я 	14983	0.0100363
яб	73	4.88989e-05
яв	847	0.000567361
яг	78	5.22481e-05
яд	628	0.000420665
яе	634	0.000424684
яж	199	0.0001333
яз	438	0.000293393
яи	13	8.70802e-06
яй	128	8.57405e-05
як	287	0.000192246
ял	713	0.000477602
ям	941	0.000630327
ян	508	0.000340283
яп	36	2.41145e-05
яр	61	4.08607e-05
яс	441	0.000295403
ят	2191	0.00146764
яу	1	6.69848e-07
ях	426	0.000285355
яц	56	3.75115e-05
яч	224	0.000150046
яш	7	4.68894e-06
ящ	349	0.000233777
яю	288	0.000192916
яя	122	8.17215e-05
